GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mailclena,de.aikiit.mailclena.mail,MailClient.MailClientCommands,0,47,0,6,0,9,0,5,0,2
mailclena,de.aikiit.mailclena.mail,MailClient,26,272,2,17,5,70,2,14,0,6
mailclena,de.aikiit.mailclena,MailClenaParameterParser,0,152,0,14,0,31,0,11,0,4
mailclena,de.aikiit.mailclena,MailClena,0,33,0,2,0,9,0,3,0,2
mailclena,de.aikiit.mailclena,MailClenaParameterParser.MailClenaCommandLineOptions,0,52,0,0,0,11,0,4,0,4
